bowler,season,season_year,balls,runs_conceded,wickets,wides,noballs,dots,economy,bowling_avg,dot_pct
A Ashish Reddy,2012,2012,169,238,11,4,2,56,8.449704142011834,21.636363636363637,33.13609467455622
A Ashish Reddy,2013,2013,41,71,3,1,0,11,10.390243902439025,23.666666666666668,26.82926829268293
A Ashish Reddy,2015,2015,37,51,4,1,0,10,8.27027027027027,12.75,27.027027027027028
A Ashish Reddy,2016,2016,23,40,1,0,0,6,10.434782608695652,40.0,26.08695652173913
A Badoni,2022,2022,12,12,2,0,0,4,6.0,6.0,33.33333333333333
A Badoni,2023,2023,1,0,0,0,0,1,0.0,,100.0
A Badoni,2024,2024,12,25,0,0,0,1,12.5,,8.333333333333332
A Badoni,2025,2025,10,13,2,0,0,3,7.8,6.5,30.0
A Badoni,2026,2026,6,14,0,0,0,0,14.0,,0.0
A Chandila,2012,2012,84,87,5,0,0,40,6.214285714285714,17.4,47.61904761904761
A Chandila,2013,2013,150,158,6,0,0,65,6.32,26.333333333333332,43.333333333333336
A Choudhary,2017,2017,108,144,5,6,1,43,8.0,28.8,39.81481481481482
A Dananjaya,2018,2018,25,47,0,1,0,6,11.28,,24.0
A Flintoff,2009,2009,66,106,2,0,0,21,9.636363636363637,53.0,31.818181818181817
A Kamboj,2024,2024,68,115,2,6,2,21,10.147058823529411,57.5,30.88235294117647
A Kamboj,2025,2025,130,173,8,0,1,57,7.984615384615384,21.625,43.84615384615385
A Kamboj,2026,2026,223,321,18,6,3,97,8.636771300448432,17.833333333333332,43.49775784753363
A Kumble,2007/08,2007,236,314,8,6,0,91,7.983050847457626,39.25,38.559322033898304
A Kumble,2009,2009,358,353,22,3,0,144,5.916201117318436,16.045454545454547,40.22346368715084
A Kumble,2009/10,2009,389,422,19,4,5,162,6.508997429305913,22.210526315789473,41.645244215938305
A Mishra,2007/08,2007,123,140,11,3,1,45,6.829268292682927,12.727272727272727,36.58536585365854
A Mishra,2009,2009,262,300,14,3,6,106,6.870229007633588,21.428571428571427,40.458015267175576
A Mishra,2009/10,2009,329,371,20,8,3,137,6.76595744680851,18.55,41.641337386018236
A Mishra,2011,2011,324,369,19,2,2,138,6.833333333333333,19.42105263157895,42.592592592592595
A Mishra,2012,2012,289,381,13,5,2,93,7.9100346020761245,29.307692307692307,32.17993079584775
A Mishra,2013,2013,376,395,24,2,2,152,6.303191489361702,16.458333333333332,40.42553191489361
A Mishra,2014,2014,230,342,8,3,2,69,8.921739130434782,42.75,30.0
A Mishra,2015,2015,249,312,9,8,0,77,7.518072289156627,34.666666666666664,30.923694779116467
A Mishra,2016,2016,284,350,14,6,2,97,7.394366197183098,25.0,34.154929577464785
A Mishra,2017,2017,237,345,10,4,0,80,8.734177215189874,34.5,33.755274261603375
A Mishra,2018,2018,226,265,13,4,0,74,7.035398230088496,20.384615384615383,32.743362831858406
A Mishra,2019,2019,243,271,11,3,0,83,6.691358024691358,24.636363636363637,34.15637860082305
A Mishra,2020/21,2020,61,72,3,0,1,17,7.081967213114755,24.0,27.86885245901639
A Mishra,2021,2021,84,109,6,0,0,25,7.785714285714286,18.166666666666668,29.761904761904763
A Mishra,2023,2023,115,151,7,1,0,32,7.878260869565217,21.571428571428573,27.82608695652174
A Mishra,2024,2024,12,20,1,0,0,5,10.0,20.0,41.66666666666667
A Mithun,2009,2009,27,42,0,3,0,7,9.333333333333334,,25.925925925925924
A Mithun,2009/10,2009,20,39,1,1,1,3,11.7,39.0,15.0
A Mithun,2011,2011,221,325,6,9,8,74,8.823529411764705,54.166666666666664,33.4841628959276
A Mithun,2012,2012,19,34,0,1,0,6,10.736842105263158,,31.57894736842105
A Mithun,2013,2013,25,37,1,1,0,9,8.879999999999999,37.0,36.0
A Nehra,2007/08,2007,280,357,14,10,1,126,7.65,25.5,45.0
A Nehra,2009,2009,326,354,22,15,5,145,6.515337423312883,16.09090909090909,44.47852760736196
A Nehra,2009/10,2009,85,102,6,1,0,40,7.2,17.0,47.05882352941176
A Nehra,2012,2012,291,411,12,1,2,106,8.474226804123711,34.25,36.42611683848797
A Nehra,2013,2013,221,319,13,5,0,87,8.660633484162895,24.53846153846154,39.366515837104075
A Nehra,2014,2014,93,143,8,3,0,31,9.225806451612904,17.875,33.33333333333333
A Nehra,2015,2015,385,453,25,12,1,175,7.059740259740259,18.12,45.45454545454545
A Nehra,2016,2016,161,200,11,5,0,73,7.453416149068324,18.181818181818183,45.3416149068323
A Nehra,2017,2017,132,198,10,5,0,48,9.0,19.8,36.36363636363637
A Nel,2007/08,2007,18,31,1,0,0,7,10.333333333333334,31.0,38.88888888888889
A Nortje,2020/21,2020,376,529,23,10,0,160,8.441489361702128,23.0,42.5531914893617
A Nortje,2021,2021,187,198,12,5,0,84,6.352941176470588,16.5,44.919786096256686
A Nortje,2022,2022,143,219,9,5,4,50,9.18881118881119,24.333333333333332,34.96503496503497
A Nortje,2023,2023,251,370,11,8,3,96,8.844621513944222,33.63636363636363,38.24701195219124
A Nortje,2024,2024,140,298,7,7,1,40,12.771428571428572,42.57142857142857,28.57142857142857
A Nortje,2025,2025,45,87,1,3,0,17,11.6,87.0,37.77777777777778
A Nortje,2026,2026,27,39,0,3,0,7,8.666666666666666,,25.925925925925924
A Singh,2009,2009,107,100,9,1,1,60,5.607476635514019,11.11111111111111,56.074766355140184
A Singh,2011,2011,175,222,10,4,0,79,7.611428571428571,22.2,45.14285714285714
A Singh,2012,2012,204,317,12,7,0,61,9.323529411764707,26.416666666666668,29.901960784313726
A Symonds,2007/08,2007,44,106,0,2,1,12,14.454545454545455,,27.27272727272727
A Symonds,2009,2009,147,162,9,3,0,67,6.612244897959184,18.0,45.57823129251701
A Symonds,2009/10,2009,325,385,13,7,0,118,7.107692307692308,29.615384615384617,36.30769230769231
A Symonds,2011,2011,24,41,1,0,0,10,10.25,41.0,41.66666666666667
A Uniyal,2009/10,2009,38,67,3,2,0,9,10.578947368421053,22.333333333333332,23.684210526315788
