team,season,season_year,matches_played,wins,toss_wins,win_rate
Chennai Super Kings,2007/08,2007,16,9,5,56.25
Chennai Super Kings,2009,2009,14,8,7,57.14285714285714
Chennai Super Kings,2009/10,2009,16,9,10,56.25
Chennai Super Kings,2011,2011,16,11,9,68.75
Chennai Super Kings,2012,2012,18,10,7,55.55555555555556
Chennai Super Kings,2013,2013,18,12,8,66.66666666666666
Chennai Super Kings,2014,2014,16,10,10,62.5
Chennai Super Kings,2015,2015,17,10,10,58.82352941176471
Chennai Super Kings,2018,2018,16,11,11,68.75
Chennai Super Kings,2019,2019,17,10,12,58.82352941176471
Chennai Super Kings,2020/21,2020,14,6,8,42.857142857142854
Chennai Super Kings,2021,2021,16,11,6,68.75
Chennai Super Kings,2022,2022,14,4,6,28.57142857142857
Chennai Super Kings,2023,2023,16,10,10,62.5
Chennai Super Kings,2024,2024,14,7,3,50.0
Chennai Super Kings,2025,2025,14,4,6,28.57142857142857
Chennai Super Kings,2026,2026,10,5,2,50.0
Deccan Chargers,2007/08,2007,14,2,9,14.285714285714285
Deccan Chargers,2009,2009,16,9,10,56.25
Deccan Chargers,2009/10,2009,16,8,9,50.0
Deccan Chargers,2011,2011,14,6,6,42.857142857142854
Deccan Chargers,2012,2012,15,4,9,26.666666666666668
Delhi Capitals,2019,2019,16,9,10,56.25
Delhi Capitals,2020/21,2020,17,8,10,47.05882352941176
Delhi Capitals,2021,2021,16,9,8,56.25
Delhi Capitals,2022,2022,14,7,8,50.0
Delhi Capitals,2023,2023,14,5,7,35.714285714285715
Delhi Capitals,2024,2024,14,7,7,50.0
Delhi Capitals,2025,2025,15,6,8,40.0
Delhi Capitals,2026,2026,10,4,8,40.0
Delhi Daredevils,2007/08,2007,14,7,6,50.0
Delhi Daredevils,2009,2009,15,10,9,66.66666666666666
Delhi Daredevils,2009/10,2009,14,7,8,50.0
Delhi Daredevils,2011,2011,14,4,9,28.57142857142857
Delhi Daredevils,2012,2012,18,11,10,61.111111111111114
Delhi Daredevils,2013,2013,16,3,5,18.75
Delhi Daredevils,2014,2014,14,2,4,14.285714285714285
Delhi Daredevils,2015,2015,14,5,5,35.714285714285715
Delhi Daredevils,2016,2016,14,7,8,50.0
Delhi Daredevils,2017,2017,14,6,8,42.857142857142854
Delhi Daredevils,2018,2018,14,5,8,35.714285714285715
Gujarat Lions,2016,2016,16,9,8,56.25
Gujarat Lions,2017,2017,14,4,7,28.57142857142857
Gujarat Titans,2022,2022,16,12,10,75.0
Gujarat Titans,2023,2023,17,11,9,64.70588235294117
Gujarat Titans,2024,2024,12,5,3,41.66666666666667
Gujarat Titans,2025,2025,15,9,7,60.0
Gujarat Titans,2026,2026,10,6,5,60.0
Kings XI Punjab,2007/08,2007,15,10,8,66.66666666666666
Kings XI Punjab,2009,2009,14,7,6,50.0
Kings XI Punjab,2009/10,2009,14,3,5,21.428571428571427
Kings XI Punjab,2011,2011,14,7,10,50.0
Kings XI Punjab,2012,2012,16,8,8,50.0
Kings XI Punjab,2013,2013,16,8,7,50.0
Kings XI Punjab,2014,2014,17,12,7,70.58823529411765
Kings XI Punjab,2015,2015,14,2,7,14.285714285714285
Kings XI Punjab,2016,2016,14,4,6,28.57142857142857
Kings XI Punjab,2017,2017,14,7,4,50.0
Kings XI Punjab,2018,2018,14,6,7,42.857142857142854
Kings XI Punjab,2019,2019,14,6,6,42.857142857142854
Kings XI Punjab,2020/21,2020,14,5,4,35.714285714285715
