match_id,date,season,event,venue,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,toss_won_match,season_year
1082591,2017-04-05,2017,Indian Premier League,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35.0,,Yuvraj Singh,0,2017
1082592,2017-04-06,2017,Indian Premier League,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,7.0,SPD Smith,1,2017
1082593,2017-04-07,2017,Indian Premier League,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,10.0,CA Lynn,1,2017
1082594,2017-04-08,2017,Indian Premier League,Holkar Cricket Stadium,Indore,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,,6.0,GJ Maxwell,1,2017
1082595,2017-04-08,2017,Indian Premier League,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15.0,,KM Jadhav,1,2017
1082596,2017-04-09,2017,Indian Premier League,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,9.0,Rashid Khan,1,2017
1082597,2017-04-09,2017,Indian Premier League,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,4.0,N Rana,1,2017
1082598,2017-04-10,2017,Indian Premier League,Holkar Cricket Stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,8.0,AR Patel,0,2017
1082599,2017-04-11,2017,Indian Premier League,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,97.0,,SV Samson,0,2017
1082600,2017-04-12,2017,Indian Premier League,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,4.0,JJ Bumrah,1,2017
1082601,2017-04-13,2017,Indian Premier League,Eden Gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,,8.0,SP Narine,1,2017
1082602,2017-04-14,2017,Indian Premier League,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,4.0,KA Pollard,1,2017
1082603,2017-04-14,2017,Indian Premier League,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,,7.0,AJ Tye,1,2017
1082604,2017-04-15,2017,Indian Premier League,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17.0,,RV Uthappa,0,2017
1082605,2017-04-15,2017,Indian Premier League,Feroz Shah Kotla,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,51.0,,CJ Anderson,1,2017
1082606,2017-04-16,2017,Indian Premier League,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,,6.0,N Rana,1,2017
1082607,2017-04-16,2017,Indian Premier League,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,27.0,,BA Stokes,0,2017
