season_year,toss_decision,toss_win_pct
2007,bat,34.61538461538461
2007,field,59.375
2009,bat,54.054054054054056
2009,field,55.81395348837209
2011,bat,44.0
2011,field,56.25
2012,bat,40.54054054054054
2012,field,48.64864864864865
2013,bat,46.666666666666664
2013,field,45.16129032258064
2014,bat,26.31578947368421
2014,field,58.536585365853654
2015,bat,56.00000000000001
2015,field,38.23529411764706
2016,bat,18.181818181818183
2016,field,65.3061224489796
2017,bat,54.54545454545454
2017,field,58.333333333333336
2018,bat,50.0
2018,field,54.0
2019,bat,40.0
2019,field,60.0
2020,bat,40.74074074074074
2020,field,42.42424242424242
2021,bat,37.5
2021,field,63.63636363636363
2022,bat,46.666666666666664
2022,field,49.152542372881356
2023,bat,52.38095238095239
2023,field,43.39622641509434
2024,bat,36.84210526315789
2024,field,46.15384615384615
2025,bat,64.28571428571429
2025,field,56.666666666666664
2026,bat,10.0
2026,field,58.97435897435898
